,,,ライブハウス,会場,上野 untitled,
時間,,持ち時間,バンド名,曲数,人数,key
11:00,,,集合,,,
11:30,11:50,20,King Gnu,3,4,
11:50,12:20,30,ハルカミライ,4,4,
12:20,12:50,30,超☆社会的サンダル,4,4,
12:50,13:20,30,SHANK(鈴木),5,4,
13:20,13:50,30,きのこ帝国,4,4,
13:50,14:20,30,Foo Fighters,4,5,
14:20,14:50,30,ヨルシカ(安田),4,6,貸出(エレピ)
14:50,15:20,30,ポルカドットスティングレイ,4,4,
15:20,15:50,30,休憩,,,
15:50,16:20,30,ハンブレッダーズ(郡山),4,4,
16:20,16:50,30,星野源,4,5,貸出(エレビ)
16:50,17:20,30,ZAZEN BOYS,5,4,
17:20,17:50,30,ずっと真夜中でいいのに。,4,6,私物、貸出(エレピ)
17:50,18:20,30,ELLEGARDEN(岩崎),4,4,
18:20,18:50,30,04 Limited Sazabys,5,4,
